,id,brand,txt,buylink
0,0,ADRER,Tシャツ/カットソー (イエロー系),https://zozo.jp/?c=gr&gid=60455891&kid=323231383&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameADRER_itemID59965199_kid323231383_coupon0
1,0,And A,,https://zozo.jp/search/?p_keyv=%83J%81%5B%83S%83p%83%93%83c&p_cocid=2&kid=423231383&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23231383
2,0,CONVERSE,,https://zozo.jp/brand/converse/?p_keyv=%83%82%83J%83V%83%93%2F%83f%83b%83L%83V%83%85%81%5B%83Y&p_cocid=8&kid=423231383&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23231383
3,1,SHEIN,,https://zozo.jp/search/?p_keyv=%83%7B%83f%83B%83o%83b%83O%2F%83E%83G%83X%83g%83%7C%81%5B%83%60&p_cocid=2&kid=422641160&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_22641160
4,1,OY,パーカー (ブラック系),https://zozo.jp/?c=gr&gid=45851925&kid=322641160&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameOY_itemID41734836_kid322641160_coupon0
5,1,aveil,,https://zozo.jp/category/shoes/?p_cocid=2&kid=422641160&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_22641160
6,1,ROMWE,,https://zozo.jp/category/jacket-outerwear/?p_cocid=7&kid=422641160&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_22641160
7,2,9090,,https://zozo.jp/search/?p_keyv=%83u%83%8B%83%5D%83%93&p_cocid=2&kid=423301614&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23301614
8,2,Supreme ,,https://zozo.jp/category/accessory/?p_cocid=14&kid=423301614&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23301614
9,2,HARE,,https://zozo.jp/brand/hare/?p_keyv=%83%8A%83%93%83O&p_cocid=14&kid=423301614&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23301614
10,3,NEW ERA,,https://zozo.jp/brand/newera/?p_keyv=%83L%83%83%83b%83v&p_cocid=2&kid=423084888&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23084888
11,4,SALOMON,,https://zozo.jp/search/?p_keyv=%83X%83j%81%5B%83J%81%5B&p_cocid=3&kid=423312478&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23312478
12,4,CIAOPANIC TYPY,スラックス (ブルー系),https://zozo.jp/?c=gr&gid=76361522&kid=323312478&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameCIAOPANIC+TYPY_itemID72403114_kid323312478_coupon0
13,4,CIAOPANIC TYPY,ニット/セーター (ブルー系),https://zozo.jp/?c=gr&gid=75413786&kid=323312478&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameCIAOPANIC+TYPY_itemID72074939_kid323312478_coupon0
14,4,CIAOPANIC TYPY,ショルダーバッグ (ブラック系),https://zozo.jp/?c=gr&gid=75815643&kid=323312478&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameCIAOPANIC+TYPY_itemID71737366_kid323312478_coupon0
15,5,Zoff,メガネ (ブラウン系),https://zozo.jp/?c=gr&gid=52884849&kid=323290089&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameZoff_itemID49186495_kid323290089_coupon0
16,5,select MOCA,ニット/セーター (ブラウン系),https://zozo.jp/?c=gr&gid=74983130&kid=323290089&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameselect+MOCA_itemID72189926_kid323290089_coupon0
17,5,Kastane,その他パンツ (ホワイト系),https://zozo.jp/brand/kastane/?p_keyv=%82%BB%82%CC%91%BC%83p%83%93%83c&kid=423290089&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23290089
18,5,HARUTA,ローファー (ブラック系),https://zozo.jp/?c=gr&gid=49794853&kid=323290089&t=w&utm_source=wear&utm_medium=pc&utm_campaign=brandnameHARUTA_itemID44381579_kid323290089_coupon0
19,5,my Instagram 📷´-,個人アカウント❕よかったら遊びにきてください🫰🏻🤍,https://zozo.jp/search/?p_keyv=%82%BB%82%CC%91%BC&p_cocid=16&kid=423290089&t=w&utm_source=wear&utm_medium=pc&utm_campaign=relsnap_23290089
