,genre,body,good,image
0,ストリート系,今は亡きFalilvのkeiスタイルベースをはじめたきっかけでもある憧れの人,22,https://images.wear2.jp/coordinate/lei0joQO/Drhd6JP3/1691797352_276.jpg
1,ストリート系,ジャケットSHEINROMWE Street Life 1個 男性 文字グラフィックツートーンバーシティジャケットウエストポーチSHEIN男性 チェーンデコレーション ウェストポーチ,6,https://images.wear2.jp/coordinate/oJiZJgoY/QTVvZxzq/1676966502_276.jpg
2,ストリート系,新潟記念 ◎ブラブァス ◎マイネルウィルトス　○ユーキャンスマイル ▲インプレス,7,https://images.wear2.jp/coordinate/nZinmRWq/rhwsMA9z/1693813278_276.jpg
3,ストリート系,赤×ゴールド✌️手にはじゃがビー🖐️,5,https://images.wear2.jp/coordinate/08iYXZ3R/orCsVGdX/1687664185_276.jpg
4,韓国ファッション,袖の配色がアクセントに◎instagram ▷ pppkko2525,84,https://images.wear2.jp/coordinate/d2idByaY/W0Vg39N9/1694130942_276.jpg
5,韓国ファッション,ご覧いただきありがとうございます🎞💿┈┈┈┈┈┈┈┈┈autumn code 🐈🧶┈┈┈┈┈┈┈┈┈select MOCAのニット👨🏻◎ポコポコしているデザインがめちゃくちゃ可愛い🫰🏻ショーツとメガネを合わせて読書の秋スタイルに📖´早く秋来ないかな〜〜🐿🌰┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈いつもたくさんのいいねSAVEフォルダインありがとうございます🎧🤍ご連絡等はインスタまでよろしくお願いします𓇳𓈒𓂃✔️ Instagram ▷  05318175,336,https://images.wear2.jp/coordinate/ROizw65j/ZAOzV32x/1693478159_276.jpg
6,韓国ファッション,instagramsizuoksam コメントやDMはinstagramにお願いします♥︎☝︎ プロフィールから飛べます ．．． ✈︎,48,https://images.wear2.jp/coordinate/abiXEQq/0tr6ZehT/1694005518_276.jpg
7,韓国ファッション,ショートパンツにブーツの合わせってなんか大好き🫧topsをちょっと重くして秋気分♡,217,https://images.wear2.jp/coordinate/p3imM5pa/1X7yanjl/1693365246_276.jpg
8,韓国ファッション,クロスデザインが可愛いメッシュニットレイヤードするアイテムによって雰囲気も変えれるので楽しめそう😉♡,72,https://images.wear2.jp/coordinate/5EiW3xlA/n7pPxU93/1692930545_276.jpg
9,モード,きれいめブラウスをラフにワイドパンツ合わせで✔️  いいねsaveフォロー  いつもありがとうございます☻  フォルダもとっても嬉しいです✨  Instagram➿  numayuka  ↑毎日更新中♡  質問などお気軽にコメントください✧  コメントフォロー嬉しいです🍋🍋,150,https://images.wear2.jp/coordinate/5EinOb4/rN8utXjU/1693898555_276.jpg
